month,db-name,value
2019-11,PostgreSQL,503.374
2019-12,PostgreSQL,507.191
2020-01,PostgreSQL,506.939
2020-02,PostgreSQL,513.919
2020-03,PostgreSQL,509.856
2020-04,PostgreSQL,514.801
2020-05,PostgreSQL,522.988
2020-06,PostgreSQL,527.005
2020-07,PostgreSQL,536.767
2020-08,PostgreSQL,542.286
2020-09,PostgreSQL,542.401
2020-10,PostgreSQL,555.06
2020-11,PostgreSQL,547.572
2020-12,PostgreSQL,552.226
2021-01,PostgreSQL,550.96
2021-02,PostgreSQL,549.287
2012-10,MongoDB,101.77
2012-11,MongoDB,103.774
2012-12,MongoDB,96.126
2013-01,MongoDB,116.136
2013-02,MongoDB,124.225
2013-03,MongoDB,129.748
2013-04,MongoDB,134.948
2013-05,MongoDB,137.492
2013-06,MongoDB,140.462
2013-07,MongoDB,155.992
2013-08,MongoDB,152.188
2013-09,MongoDB,149.477
2013-10,MongoDB,161.872
2013-11,MongoDB,183.068
2013-12,MongoDB,178.231
2014-01,MongoDB,195.175
2014-02,MongoDB,199.986
2014-03,MongoDB,214.341
2014-04,MongoDB,224.621
2014-05,MongoDB,231.443
2014-06,MongoDB,238.775
2014-07,MongoDB,237.355
2014-08,MongoDB,240.983
2014-09,MongoDB,240.407
2014-10,MongoDB,244.734
2014-11,MongoDB,246.518
2014-12,MongoDB,250.897
2015-01,MongoDB,267.244
2015-02,MongoDB,275.013
2015-03,MongoDB,278.595
2015-04,MongoDB,277.324
2015-05,MongoDB,279.051
2015-06,MongoDB,287.395
2015-07,MongoDB,294.654
2015-08,MongoDB,300.566
2015-09,MongoDB,293.267
2015-10,MongoDB,304.607
2015-11,MongoDB,301.391
2015-12,MongoDB,306.029
2016-01,MongoDB,305.599
2016-02,MongoDB,305.331
2016-03,MongoDB,312.443
2016-04,MongoDB,320.222
2016-05,MongoDB,314.622
2016-06,MongoDB,315.002
2016-07,MongoDB,318.489
2016-08,MongoDB,315.997
2016-09,MongoDB,318.802
2016-10,MongoDB,325.477
2016-11,MongoDB,328.684
2016-12,MongoDB,331.904
2017-01,MongoDB,335.5
2017-02,MongoDB,326.933
2017-03,MongoDB,325.425
2017-04,MongoDB,331.582
2017-05,MongoDB,335.001
2017-06,MongoDB,332.767
2017-07,MongoDB,330.496
2017-08,MongoDB,332.735
2017-09,MongoDB,329.401
2017-10,MongoDB,330.475
2017-11,MongoDB,330.77
2017-12,MongoDB,330.949
2018-01,MongoDB,336.424
2018-02,MongoDB,340.522
2018-03,MongoDB,341.41
2018-04,MongoDB,342.113
2018-05,MongoDB,343.788
2018-06,MongoDB,350.325
2018-07,MongoDB,350.98
2018-08,MongoDB,358.793
2018-09,MongoDB,363.186
2018-10,MongoDB,369.482
2018-11,MongoDB,378.62
2018-12,MongoDB,387.185
2019-01,MongoDB,395.094
2019-02,MongoDB,401.338
2019-03,MongoDB,401.975
2019-04,MongoDB,408.071
2019-05,MongoDB,403.903
2019-06,MongoDB,409.928
2019-07,MongoDB,404.565
2019-08,MongoDB,410.06
2019-09,MongoDB,412.089
2019-10,MongoDB,413.183
2019-11,MongoDB,421.121
2019-12,MongoDB,426.966
2020-01,MongoDB,433.332
2020-02,MongoDB,437.608
2020-03,MongoDB,438.426
2020-04,MongoDB,438.994
2020-05,MongoDB,437.077
2020-06,MongoDB,443.479
2020-07,MongoDB,443.56
2020-08,MongoDB,446.481
2020-09,MongoDB,448.021
2020-10,MongoDB,453.828
2020-11,MongoDB,457.728
2020-12,MongoDB,457.223
2021-01,MongoDB,458.948
2021-02,MongoDB,462.387
2012-10,IBM Db2,180.7
2012-11,IBM Db2,164.328
2012-12,IBM Db2,153.667
2013-01,IBM Db2,162.053
2013-02,IBM Db2,159.333
2013-03,IBM Db2,155.02
2013-04,IBM Db2,159.848
2013-05,IBM Db2,177.04
2013-06,IBM Db2,168.433
2013-07,IBM Db2,162.938
2013-08,IBM Db2,172.249
2013-09,IBM Db2,175.828
2013-10,IBM Db2,165.899
2013-11,IBM Db2,190.612
2013-12,IBM Db2,188.314
2014-01,IBM Db2,188.463
2014-02,IBM Db2,187.323
2014-03,IBM Db2,184.581
2014-04,IBM Db2,186.473
2014-05,IBM Db2,198.029
2014-06,IBM Db2,202.011
2014-07,IBM Db2,206.425
2014-08,IBM Db2,197.03
2014-09,IBM Db2,207.668
2014-10,IBM Db2,206.231
2014-11,IBM Db2,210.254
2014-12,IBM Db2,200.129
2015-01,IBM Db2,202.421
2015-02,IBM Db2,198.848
2015-03,IBM Db2,197.646
2015-04,IBM Db2,201.043
2015-05,IBM Db2,198.696
2015-06,IBM Db2,198.115
2015-07,IBM Db2,201.233
2015-08,IBM Db2,209.14
2015-09,IBM Db2,206.808
2015-10,IBM Db2,202.525
2015-11,IBM Db2,196.127
2015-12,IBM Db2,196.37
2016-01,IBM Db2,194.485
2016-02,IBM Db2,187.936
2016-03,IBM Db2,184.083
2016-04,IBM Db2,185.957
2016-05,IBM Db2,188.571
2016-06,IBM Db2,185.076
2016-07,IBM Db2,185.886
2016-08,IBM Db2,181.185
2016-09,IBM Db2,180.562
2016-10,IBM Db2,181.457
2016-11,IBM Db2,184.342
2016-12,IBM Db2,182.491
2017-01,IBM Db2,187.905
2017-02,IBM Db2,184.915
2017-03,IBM Db2,186.657
2017-04,IBM Db2,188.84
2017-05,IBM Db2,187.501
